name,url,description,duration,remote_support,adaptive_support,test_type
Account Manager Solution,https://www.shl.com/products/product-catalog/view/account-manager-solution/,Account Manager Solution,,Yes,Yes,"['C', 'P', 'A', 'B']"
Administrative Professional - Short Form,https://www.shl.com/products/product-catalog/view/administrative-professional-short-form/,Administrative Professional - Short Form,,Yes,Yes,"['A', 'K', 'P']"
Agency Manager Solution,https://www.shl.com/products/product-catalog/view/agency-manager-solution/,Agency Manager Solution,,Yes,Yes,"['A', 'B', 'P', 'S']"
Apprentice + 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,Apprentice + 8.0 Job Focused Assessment,,Yes,No,"['B', 'P']"
Apprentice 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,Apprentice 8.0 Job Focused Assessment,,Yes,No,"['B', 'P']"
Bank Administrative Assistant - Short Form,https://www.shl.com/products/product-catalog/view/bank-administrative-assistant-short-form/,Bank Administrative Assistant - Short Form,,Yes,No,"['A', 'B', 'K', 'P']"
Bank Collections Agent - Short Form,https://www.shl.com/products/product-catalog/view/bank-collections-agent-short-form/,Bank Collections Agent - Short Form,,Yes,No,"['A', 'B', 'P']"
Bank Operations Supervisor - Short Form,https://www.shl.com/products/product-catalog/view/bank-operations-supervisor-short-form/,Bank Operations Supervisor - Short Form,,Yes,Yes,"['A', 'B', 'P', 'S']"
Bilingual Spanish Reservation Agent Solution,https://www.shl.com/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,Bilingual Spanish Reservation Agent Solution,,Yes,Yes,"['B', 'P', 'S', 'A']"
"Bookkeeping, Accounting, Auditing Clerk Short Form",https://www.shl.com/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,"Bookkeeping, Accounting, Auditing Clerk Short Form",,Yes,Yes,"['P', 'S', 'K', 'B', 'A']"
Branch Manager - Short Form,https://www.shl.com/products/product-catalog/view/branch-manager-short-form/,Branch Manager - Short Form,,Yes,No,"['A', 'B', 'P']"
Cashier Solution,https://www.shl.com/products/product-catalog/view/cashier-solution/,Cashier Solution,,Yes,Yes,"['B', 'A', 'P']"
Adobe Experience Manager (New),https://www.shl.com/products/product-catalog/view/adobe-experience-manager-new/,Adobe Experience Manager (New),,Yes,No,['K']
Adobe Photoshop CC,https://www.shl.com/products/product-catalog/view/adobe-photoshop-cc/,Adobe Photoshop CC,,Yes,Yes,['K']
Aeronautical Engineering (New),https://www.shl.com/products/product-catalog/view/aeronautical-engineering-new/,Aeronautical Engineering (New),,Yes,No,['K']
